se,g,l,a,p,d,v
5.2295918367,60636,zip,HDSZR,,2011,97.8
1.8112244898,60641,zip,HDSZR,,2011,23.5
3.0867346939,60642,zip,HDSZR,,2011,10.2
2.2704081633,60647,zip,HDSZR,,2011,35.8
5.2040816327,60654,zip,HDSZR,,2011,34.0
3.3163265306,60605,zip,HDSZR,,2011,26.7
3.6479591837,60610,zip,HDSZR,,2011,45.6
3.1887755102,60611,zip,HDSZR,,2011,14.7
3.8010204082,60613,zip,HDSZR,,2011,55.9
2.8826530612,60614,zip,HDSZR,,2011,42.8
3.2653061224,60615,zip,HDSZR,,2011,41.2
2.3979591837,60617,zip,HDSZR,,2011,45.2
3.6989795918,60620,zip,HDSZR,,2011,91.5
4.7704081633,60626,zip,HDSZR,,2011,108.6
3.8775510204,60628,zip,HDSZR,,2011,97.5
1.7091836735,60629,zip,HDSZR,,2011,29.6
1.5306122449,60630,zip,HDSZR,,2011,12.4
1.556122449,60631,zip,HDSZR,,2011,6.9
8.6989795918,60633,zip,HDSZR,,2011,97.9
1.2755102041,60634,zip,HDSZR,,2011,12.3
4.7959183673,60637,zip,HDSZR,,2011,100.7
1.4030612245,60638,zip,HDSZR,,2011,11.6
1.9387755102,60639,zip,HDSZR,,2011,29.4
5.0765306122,60640,zip,HDSZR,,2011,180.0
3.137755102,60643,zip,HDSZR,,2011,44.3
5.5867346939,60644,zip,HDSZR,,2011,144.3
3.443877551,60645,zip,HDSZR,,2011,53.5
1.887755102,60646,zip,HDSZR,,2011,10.3
5.5867346939,60649,zip,HDSZR,,2011,140.2
3.3418367347,60651,zip,HDSZR,,2011,66.4
2.0663265306,60652,zip,HDSZR,,2011,17.9
7.1683673469,60653,zip,HDSZR,,2011,149.8
1.5306122449,60655,zip,HDSZR,,2011,6.5
2.0918367347,60656,zip,HDSZR,,2011,10.6
2.5510204082,60657,zip,HDSZR,,2011,30.2
2.4234693878,60659,zip,HDSZR,,2011,22.1
4.3367346939,60660,zip,HDSZR,,2011,85.2
2.0408163265,60707,zip,HDSZR,,2011,18.0
3.6734693878,60827,zip,HDSZR,,2011,35.4
0.4591836735,1714000,place,HDSZR,,2011,54.3
5.0510204082,60601,zip,HDSZR,,2010,23.1
63.214285714,60602,zip,HDSZR,,2010,161.2
14.489795918,60606,zip,HDSZR,,2010,52.3
6.4540816327,60607,zip,HDSZR,,2010,73.7
1.9642857143,60608,zip,HDSZR,,2010,28.3
3.0867346939,60609,zip,HDSZR,,2010,56.9
4.7959183673,60612,zip,HDSZR,,2010,74.5
3.7755102041,60616,zip,HDSZR,,2010,69.6
1.4540816327,60618,zip,HDSZR,,2010,18.1
3.8010204082,60619,zip,HDSZR,,2010,85.0
7.2959183673,60621,zip,HDSZR,,2010,161.5
