se,g,l,a,p,d,v
0.9693877551,1714000,place,HDDRR,AP,2016,14.8
0.7397959184,1714000,place,HDDRR,AP,2014,8.3
0.5357142857,1714000,place,HDDRR,AP,2013,4.0
0.5612244898,1714000,place,HDDRR,AP,2012,4.5
0.3826530612,1714000,place,HDDRR,AP,2011,2.0
0.3826530612,1714000,place,HDDRR,AP,2010,2.2
0.4081632653,1714000,place,HDDRR,H,2017,11.4
0.4846938776,1714000,place,HDDRR,H,2016,15.1
0.4846938776,1714000,place,HDDRR,H,2014,14.8
0.4591836735,1714000,place,HDDRR,H,2013,12.0
0.4846938776,1714000,place,HDDRR,H,2012,15.0
0.5612244898,1714000,place,HDDRR,H,2011,17.6
0.5612244898,1714000,place,HDDRR,H,2010,20.3
0.1020408163,1714000,place,HDDRR,C,2017,0.5
0.1020408163,1714000,place,HDDRR,C,2016,0.8
0.0765306122,1714000,place,HDDRR,C,2014,0.4
0.1020408163,1714000,place,HDDRR,C,2013,0.6
0.1020408163,1714000,place,HDDRR,C,2012,0.5
0.1275510204,1714000,place,HDDRR,C,2011,0.7
0.1020408163,1714000,place,HDDRR,C,2010,0.7
0.4081632653,1714000,place,HDDRR,G,2017,10.2
0.4591836735,1714000,place,HDDRR,G,2016,12.2
0.3826530612,1714000,place,HDDRR,G,2014,8.2
0.3316326531,1714000,place,HDDRR,G,2013,6.4
0.3826530612,1714000,place,HDDRR,G,2012,7.5
0.3826530612,1714000,place,HDDRR,G,2011,9.0
0.4081632653,1714000,place,HDDRR,G,2010,10.0
0.6632653061,1714000,place,HDDRR,K,2017,27.6
0.7397959184,1714000,place,HDDRR,K,2016,33.6
0.7653061224,1714000,place,HDDRR,K,2014,36.3
0.6632653061,1714000,place,HDDRR,K,2013,26.9
0.9183673469,1714000,place,HDDRR,K,2012,54.1
1.1479591837,1714000,place,HDDRR,K,2011,82.7
1.25,1714000,place,HDDRR,K,2010,97.6
1.25,1714000,place,HDDRR,N,2017,94.6
1.3520408163,1714000,place,HDDRR,N,2016,109.8
1.3520408163,1714000,place,HDDRR,N,2014,108.7
1.2244897959,1714000,place,HDDRR,N,2013,88.8
1.7091836735,1714000,place,HDDRR,N,2012,174.6
1.9897959184,1714000,place,HDDRR,N,2011,233.9
1.862244898,1714000,place,HDDRR,N,2010,207.1
0.8418367347,1714000,place,HDDRR,S,2017,20.5
0.8418367347,1714000,place,HDDRR,S,2016,19.6
0.8163265306,1714000,place,HDDRR,S,2014,18.3
0.7908163265,1714000,place,HDDRR,S,2013,16.7
0.9693877551,1714000,place,HDDRR,S,2012,25.5
0.8928571429,1714000,place,HDDRR,S,2011,21.4
0.8418367347,1714000,place,HDDRR,S,2010,20.1
